iter	Passed	Remaining
468	702	795
469	702	792
470	703	790
471	704	787
472	705	785
473	706	783
474	707	781
475	708	780
476	709	778
477	710	776
478	711	773
479	712	771
480	713	769
481	714	767
482	715	765
483	716	763
484	716	761
485	717	759
486	718	756
487	719	754
488	720	753
489	721	751
490	722	749
491	723	747
492	724	745
493	725	743
494	726	741
495	727	739
496	728	737
497	729	735
498	729	732
499	730	730
500	731	728
501	732	726
502	732	724
503	734	723
504	736	721
505	737	720
506	739	719
507	740	717
508	741	715
509	742	713
510	743	711
511	744	709
512	744	707
513	745	704
514	746	702
515	747	700
516	747	698
517	749	697
518	751	696
519	754	696
520	755	694
521	756	692
522	757	690
523	758	688
524	758	686
525	759	684
526	760	682
527	761	680
528	762	678
529	763	676
530	764	675
531	766	674
532	767	672
533	768	670
534	768	668
535	769	666
536	770	664
537	771	662
538	771	660
539	772	657
540	773	655
541	773	653
542	774	651
543	775	650
544	776	648
545	776	646
546	778	644
547	781	644
548	782	642
549	783	641
550	784	639
551	785	637
552	785	635
553	786	633
554	787	631
555	788	629
556	789	627
557	789	625
558	790	623
559	791	621
560	792	620
561	793	618
562	795	617
563	797	616
564	798	614
565	799	612
566	799	610
567	800	608
568	801	607
569	802	605
570	803	603
571	803	601
572	804	599
573	805	597
574	806	596
575	808	594
576	809	593
577	810	591
578	811	590
579	812	588
580	813	586
581	814	584
582	815	582
583	815	581
584	816	579
585	817	577
586	818	575
587	819	574
588	820	572
589	822	571
590	825	571
591	827	570
592	828	568
593	829	566
594	829	564
595	830	563
596	831	561
597	832	559
598	832	557
599	835	556
600	836	555
601	839	555
602	840	553
603	842	552
604	842	550
605	843	548
606	844	546
607	845	544
608	846	543
609	846	541
610	848	540
611	852	540
612	853	538
613	855	538
614	856	536
615	857	534
616	858	532
617	859	531
618	860	529
619	860	527
620	861	525
621	863	524
622	865	523
623	866	522
624	868	521
625	869	519
626	870	517
627	871	516
628	872	514
629	873	512
630	874	511
631	874	509
632	875	507
633	877	506
634	879	505
635	881	504
636	882	503
637	883	501
638	884	499
639	885	498
640	886	496
641	887	495
642	888	493
643	889	491
644	892	490
645	893	489
646	894	488
647	895	486
648	896	484
649	897	483
650	898	481
651	898	479
652	899	477
653	900	476
654	900	474
655	901	472
656	902	471
657	904	470
658	906	469
659	907	467
660	909	466
661	909	464
662	911	463
663	912	461
664	913	460
665	914	458
666	914	456
667	916	455
668	917	453
669	919	452
670	920	451
671	922	450
672	924	449
673	925	447
674	926	446
675	927	444
676	928	442
677	929	441
678	930	439
679	930	438
680	932	436
681	933	435
682	934	433
683	935	432
684	937	430
685	938	429
686	938	427
687	939	426
688	940	424
689	941	423
690	942	421
691	943	419
692	944	418
693	945	416
694	948	416
695	951	415
696	953	414
697	954	412
698	954	411
699	955	409
700	956	408
701	957	406
702	958	404
703	959	403
704	961	402
705	963	401
706	964	399
707	965	398
708	966	396
709	967	395
710	968	393
711	969	392
712	969	390
713	970	388
714	971	387
715	972	385
716	973	384
717	974	382
718	975	381
719	977	379
720	979	378
721	980	377
722	981	376
723	982	374
724	983	372
725	983	371
726	984	369
727	985	368
728	986	366
729	987	365
730	988	363
731	989	362
732	990	360
733	992	359
734	993	358
735	995	356
736	996	355
737	997	353
738	997	352
739	998	350
740	999	349
741	1000	347
742	1001	346
